"family_prefix","table_name","column_name","data_type","udt_name","is_nullable","column_default"
"annotations","annotations_graph","id","bigint","int8","NO",NULL
"annotations","annotations_graph","annotation","jsonb","jsonb","NO",NULL
"annotations","annotations_graph","allograph_id","bigint","int8","NO",NULL
"annotations","annotations_graph","hand_id","bigint","int8","NO",NULL
"annotations","annotations_graph","item_image_id","bigint","int8","NO",NULL
"annotations","annotations_graph","annotation_type","character varying","varchar","YES",NULL
"annotations","annotations_graph_positions","id","bigint","int8","NO",NULL
"annotations","annotations_graph_positions","graph_id","bigint","int8","NO",NULL
"annotations","annotations_graph_positions","position_id","bigint","int8","NO",NULL
"annotations","annotations_graphcomponent","id","bigint","int8","NO",NULL
"annotations","annotations_graphcomponent","component_id","bigint","int8","NO",NULL
"annotations","annotations_graphcomponent","graph_id","bigint","int8","NO",NULL
"annotations","annotations_graphcomponent_features","id","bigint","int8","NO",NULL
"annotations","annotations_graphcomponent_features","graphcomponent_id","bigint","int8","NO",NULL
"annotations","annotations_graphcomponent_features","feature_id","bigint","int8","NO",NULL
"auth","auth_group","id","integer","int4","NO",NULL
"auth","auth_group","name","character varying","varchar","NO",NULL
"auth","auth_group_permissions","id","bigint","int8","NO",NULL
"auth","auth_group_permissions","group_id","integer","int4","NO",NULL
"auth","auth_group_permissions","permission_id","integer","int4","NO",NULL
"auth","auth_permission","id","integer","int4","NO",NULL
"auth","auth_permission","name","character varying","varchar","NO",NULL
"auth","auth_permission","content_type_id","integer","int4","NO",NULL
"auth","auth_permission","codename","character varying","varchar","NO",NULL
"auth","auth_user","id","integer","int4","NO",NULL
"auth","auth_user","password","character varying","varchar","NO",NULL
"auth","auth_user","last_login","timestamp with time zone","timestamptz","YES",NULL
"auth","auth_user","is_superuser","boolean","bool","NO",NULL
"auth","auth_user","username","character varying","varchar","NO",NULL
"auth","auth_user","first_name","character varying","varchar","NO",NULL
"auth","auth_user","last_name","character varying","varchar","NO",NULL
"auth","auth_user","email","character varying","varchar","NO",NULL
"auth","auth_user","is_staff","boolean","bool","NO",NULL
"auth","auth_user","is_active","boolean","bool","NO",NULL
"auth","auth_user","date_joined","timestamp with time zone","timestamptz","NO",NULL
"auth","auth_user_groups","id","bigint","int8","NO",NULL
"auth","auth_user_groups","user_id","integer","int4","NO",NULL
"auth","auth_user_groups","group_id","integer","int4","NO",NULL
"auth","auth_user_user_permissions","id","bigint","int8","NO",NULL
"auth","auth_user_user_permissions","user_id","integer","int4","NO",NULL
"auth","auth_user_user_permissions","permission_id","integer","int4","NO",NULL
"authtoken","authtoken_token","key","character varying","varchar","NO",NULL
"authtoken","authtoken_token","created","timestamp with time zone","timestamptz","NO",NULL
"authtoken","authtoken_token","user_id","integer","int4","NO",NULL
"common","common_date","id","bigint","int8","NO",NULL
"common","common_date","date","character varying","varchar","NO",NULL
"common","common_date","min_weight","integer","int4","NO",NULL
"common","common_date","max_weight","integer","int4","NO",NULL
"django","django_admin_log","id","integer","int4","NO",NULL
"django","django_admin_log","action_time","timestamp with time zone","timestamptz","NO",NULL
"django","django_admin_log","object_id","text","text","YES",NULL
"django","django_admin_log","object_repr","character varying","varchar","NO",NULL
"django","django_admin_log","action_flag","smallint","int2","NO",NULL
"django","django_admin_log","change_message","text","text","NO",NULL
"django","django_admin_log","content_type_id","integer","int4","YES",NULL
"django","django_admin_log","user_id","integer","int4","NO",NULL
"django","django_content_type","id","integer","int4","NO",NULL
"django","django_content_type","app_label","character varying","varchar","NO",NULL
"django","django_content_type","model","character varying","varchar","NO",NULL
"django","django_migrations","id","bigint","int8","NO",NULL
"django","django_migrations","app","character varying","varchar","NO",NULL
"django","django_migrations","name","character varying","varchar","NO",NULL
"django","django_migrations","applied","timestamp with time zone","timestamptz","NO",NULL
"django","django_session","session_key","character varying","varchar","NO",NULL
"django","django_session","session_data","text","text","NO",NULL
"django","django_session","expire_date","timestamp with time zone","timestamptz","NO",NULL
"manuscripts","manuscripts_bibliographicsource","id","bigint","int8","NO",NULL
"manuscripts","manuscripts_bibliographicsource","name","character varying","varchar","NO",NULL
"manuscripts","manuscripts_bibliographicsource","label","character varying","varchar","NO",NULL
"manuscripts","manuscripts_cataloguenumber","id","bigint","int8","NO",NULL
"manuscripts","manuscripts_cataloguenumber","number","character varying","varchar","NO",NULL
"manuscripts","manuscripts_cataloguenumber","url","character varying","varchar","YES",NULL
"manuscripts","manuscripts_cataloguenumber","historical_item_id","bigint","int8","NO",NULL
"manuscripts","manuscripts_cataloguenumber","catalogue_id","bigint","int8","NO",NULL
"manuscripts","manuscripts_currentitem","id","bigint","int8","NO",NULL
"manuscripts","manuscripts_currentitem","description","text","text","YES",NULL
"manuscripts","manuscripts_currentitem","shelfmark","character varying","varchar","NO",NULL
"manuscripts","manuscripts_currentitem","repository_id","bigint","int8","NO",NULL
"manuscripts","manuscripts_historicalitem","id","bigint","int8","NO",NULL
"manuscripts","manuscripts_historicalitem","type","character varying","varchar","NO",NULL
"manuscripts","manuscripts_historicalitem","language","character varying","varchar","YES",NULL
"manuscripts","manuscripts_historicalitem","hair_type","character varying","varchar","YES",NULL
"manuscripts","manuscripts_historicalitem","format_id","bigint","int8","YES",NULL
"manuscripts","manuscripts_historicalitem","date_id","bigint","int8","YES",NULL
"manuscripts","manuscripts_historicalitemdescription","id","bigint","int8","NO",NULL
"manuscripts","manuscripts_historicalitemdescription","content","text","text","NO",NULL
"manuscripts","manuscripts_historicalitemdescription","historical_item_id","bigint","int8","NO",NULL
"manuscripts","manuscripts_historicalitemdescription","source_id","bigint","int8","NO",NULL
"manuscripts","manuscripts_imagetext","id","bigint","int8","NO",NULL
"manuscripts","manuscripts_imagetext","content","text","text","NO",NULL
"manuscripts","manuscripts_imagetext","type","character varying","varchar","NO",NULL
"manuscripts","manuscripts_imagetext","status","character varying","varchar","NO",NULL
"manuscripts","manuscripts_imagetext","item_image_id","bigint","int8","NO",NULL
"manuscripts","manuscripts_imagetext","language","character varying","varchar","NO",NULL
"manuscripts","manuscripts_imagetext","created","timestamp with time zone","timestamptz","NO",NULL
"manuscripts","manuscripts_imagetext","modified","timestamp with time zone","timestamptz","NO",NULL
"manuscripts","manuscripts_itemformat","id","bigint","int8","NO",NULL
"manuscripts","manuscripts_itemformat","name","character varying","varchar","NO",NULL
"manuscripts","manuscripts_itemimage","id","bigint","int8","NO",NULL
"manuscripts","manuscripts_itemimage","image","character varying","varchar","NO",NULL
"manuscripts","manuscripts_itemimage","locus","character varying","varchar","NO",NULL
"manuscripts","manuscripts_itemimage","item_part_id","bigint","int8","NO",NULL
"manuscripts","manuscripts_itempart","id","bigint","int8","NO",NULL
"manuscripts","manuscripts_itempart","current_item_id","bigint","int8","YES",NULL
"manuscripts","manuscripts_itempart","historical_item_id","bigint","int8","NO",NULL
"manuscripts","manuscripts_itempart","current_item_locus","character varying","varchar","NO",NULL
"manuscripts","manuscripts_itempart","custom_label","character varying","varchar","NO",NULL
"manuscripts","manuscripts_repository","id","bigint","int8","NO",NULL
"manuscripts","manuscripts_repository","name","character varying","varchar","NO",NULL
"manuscripts","manuscripts_repository","label","character varying","varchar","YES",NULL
"manuscripts","manuscripts_repository","place","character varying","varchar","NO",NULL
"manuscripts","manuscripts_repository","url","character varying","varchar","YES",NULL
