"table_schema","table_name","constraint_name","constraint_type"
"public","annotations_graph","2200_20069_1_not_null","CHECK"
"public","annotations_graph","2200_20069_2_not_null","CHECK"
"public","annotations_graph","2200_20069_3_not_null","CHECK"
"public","annotations_graph","2200_20069_4_not_null","CHECK"
"public","annotations_graph","2200_20069_5_not_null","CHECK"
"public","annotations_graph","annotations_graph_allograph_id_4318f1bd_fk_symbols_s","FOREIGN KEY"
"public","annotations_graph","annotations_graph_hand_id_2f5c1a80_fk_scribes_hand_id","FOREIGN KEY"
"public","annotations_graph","annotations_graph_item_image_id_1604294c_fk_manuscrip","FOREIGN KEY"
"public","annotations_graph","annotations_graph_pkey","PRIMARY KEY"
"public","annotations_graph_positions","2200_20075_1_not_null","CHECK"
"public","annotations_graph_positions","2200_20075_2_not_null","CHECK"
"public","annotations_graph_positions","2200_20075_3_not_null","CHECK"
"public","annotations_graph_positions","annotations_graph_po_graph_id_df1d076d_fk_annotatio","FOREIGN KEY"
"public","annotations_graph_positions","annotations_graph_po_position_id_0dc0a55f_fk_symbols_s","FOREIGN KEY"
"public","annotations_graph_positions","annotations_graph_positions_pkey","PRIMARY KEY"
"public","annotations_graph_positions","annotations_graph_positions_graph_id_position_id_7a7c237b_uniq","UNIQUE"
"public","annotations_graphcomponent","2200_20079_1_not_null","CHECK"
"public","annotations_graphcomponent","2200_20079_2_not_null","CHECK"
"public","annotations_graphcomponent","2200_20079_3_not_null","CHECK"
"public","annotations_graphcomponent","annotations_graphcom_component_id_aed2a0b9_fk_symbols_s","FOREIGN KEY"
"public","annotations_graphcomponent","annotations_graphcom_graph_id_fc7d8dbf_fk_annotatio","FOREIGN KEY"
"public","annotations_graphcomponent","annotations_graphcomponent_pkey","PRIMARY KEY"
"public","annotations_graphcomponent","annotations_graphcomponent_graph_id_component_id_cd246900_uniq","UNIQUE"
"public","annotations_graphcomponent_features","2200_20082_1_not_null","CHECK"
"public","annotations_graphcomponent_features","2200_20082_2_not_null","CHECK"
"public","annotations_graphcomponent_features","2200_20082_3_not_null","CHECK"
"public","annotations_graphcomponent_features","annotations_graphcom_feature_id_3d55ae82_fk_symbols_s","FOREIGN KEY"
"public","annotations_graphcomponent_features","annotations_graphcom_graphcomponent_id_efe5fada_fk_annotatio","FOREIGN KEY"
