"from_key","to_key"
"annotations_graph.allograph_id","symbols_structure_allograph.id"
"annotations_graph.hand_id","scribes_hand.id"
"annotations_graph.item_image_id","manuscripts_itemimage.id"
"manuscripts_cataloguenumber.catalogue_id","manuscripts_bibliographicsource.id"
"manuscripts_cataloguenumber.historical_item_id","manuscripts_historicalitem.id"
"manuscripts_currentitem.repository_id","manuscripts_repository.id"
"manuscripts_historicalitem.date_id","common_date.id"
"manuscripts_historicalitem.format_id","manuscripts_itemformat.id"
"manuscripts_historicalitemdescription.historical_item_id","manuscripts_historicalitem.id"
"manuscripts_historicalitemdescription.source_id","manuscripts_bibliographicsource.id"
"manuscripts_imagetext.item_image_id","manuscripts_itemimage.id"
"manuscripts_itemimage.item_part_id","manuscripts_itempart.id"
"manuscripts_itempart.current_item_id","manuscripts_currentitem.id"
"manuscripts_itempart.historical_item_id","manuscripts_historicalitem.id"
"scribes_hand.date_id","common_date.id"
"scribes_hand.item_part_id","manuscripts_itempart.id"
"scribes_hand.scribe_id","scribes_scribe.id"
"scribes_hand.script_id","scribes_script.id"
"scribes_hand_item_part_images.hand_id","scribes_hand.id"
"scribes_hand_item_part_images.itemimage_id","manuscripts_itemimage.id"
