"src_table","src_column","ref_table","ref_column"
"auth_group_permissions","group_id","auth_group","id"
"auth_group_permissions","permission_id","auth_permission","id"
"auth_permission","content_type_id","django_content_type","id"
"auth_user_groups","group_id","auth_group","id"
"auth_user_groups","user_id","auth_user","id"
"auth_user_user_permissions","permission_id","auth_permission","id"
"auth_user_user_permissions","user_id","auth_user","id"
"authtoken_token","user_id","auth_user","id"
"django_admin_log","content_type_id","django_content_type","id"
"django_admin_log","user_id","auth_user","id"
"publications_publication","author_id","auth_user","id"
