"src_table","src_column","ref_table","ref_column"
"annotations_graph","item_image_id","manuscripts_itemimage","id"
"manuscripts_cataloguenumber","catalogue_id","manuscripts_bibliographicsource","id"
"manuscripts_cataloguenumber","historical_item_id","manuscripts_historicalitem","id"
"manuscripts_currentitem","repository_id","manuscripts_repository","id"
"manuscripts_historicalitem","date_id","common_date","id"
"manuscripts_historicalitem","format_id","manuscripts_itemformat","id"
"manuscripts_historicalitemdescription","historical_item_id","manuscripts_historicalitem","id"
"manuscripts_historicalitemdescription","source_id","manuscripts_bibliographicsource","id"
"manuscripts_imagetext","item_image_id","manuscripts_itemimage","id"
"manuscripts_itemimage","item_part_id","manuscripts_itempart","id"
"manuscripts_itempart","current_item_id","manuscripts_currentitem","id"
"manuscripts_itempart","historical_item_id","manuscripts_historicalitem","id"
"scribes_hand","item_part_id","manuscripts_itempart","id"
"scribes_hand_item_part_images","itemimage_id","manuscripts_itemimage","id"
