"schema_name","table_name","est_rows"
"public","annotations_graph","24584"
"public","manuscripts_itemimage","3277"
"public","annotations_graphcomponent_features","2694"
"public","annotations_graphcomponent","2461"
"public","manuscripts_cataloguenumber","1414"
"public","manuscripts_imagetext","899"
"public","manuscripts_currentitem","718"
"public","scribes_hand_item_part_images","715"
"public","manuscripts_historicalitem","713"
"public","manuscripts_itempart","713"
"public","manuscripts_historicalitemdescription","703"
"public","scribes_hand","696"
"public","common_date","594"
"public","auth_permission","148"
"public","symbols_structure_allograph","103"
"public","symbols_structure_character","103"
"public","symbols_structure_allographcomponent","80"
"public","symbols_structure_component_features","76"
"public","symbols_structure_allographcomponentfeature","68"
"public","publications_publication","61"
"public","django_migrations","60"
"public","symbols_structure_feature","54"
"public","manuscripts_bibliographicsource","40"
"public","django_content_type","37"
"public","manuscripts_itemformat","20"
"public","symbols_structure_component","15"
"public","auth_user","14"
"public","manuscripts_repository","9"
"public","publications_carouselitem","8"
"public","django_session","5"
"public","scribes_scribe","3"
"public","auth_group","2"
"public","authtoken_token","1"
"public","annotations_graph_positions","0"
"public","auth_group_permissions","0"
"public","auth_user_groups","0"
"public","auth_user_user_permissions","0"
"public","django_admin_log","0"
"public","publications_comment","0"
"public","publications_event","0"
"public","publications_publication_keywords","0"
"public","publications_publication_similar_posts","0"
"public","publications_tagulous_publication_keywords","0"
"public","scribes_script","0"
"public","symbols_structure_position","0"
