"table_schema","table_name","ordinal_position","column_name","data_type","is_nullable","character_maximum_length","numeric_precision","numeric_scale"
"public","auth_group",1,"id","integer","NO",NULL,32,0
"public","auth_group",2,"name","character varying","NO",80,NULL,NULL
"public","auth_group_permissions",1,"id","integer","NO",NULL,32,0
"public","auth_group_permissions",2,"group_id","integer","NO",NULL,32,0
"public","auth_group_permissions",3,"permission_id","integer","NO",NULL,32,0
"public","auth_permission",1,"id","integer","NO",NULL,32,0
"public","auth_permission",2,"name","character varying","NO",255,NULL,NULL
"public","auth_permission",3,"content_type_id","integer","NO",NULL,32,0
"public","auth_permission",4,"codename","character varying","NO",100,NULL,NULL
"public","auth_user",1,"id","integer","NO",NULL,32,0
"public","auth_user",2,"password","character varying","NO",128,NULL,NULL
"public","auth_user",3,"last_login","timestamp with time zone","YES",NULL,NULL,NULL
"public","auth_user",4,"is_superuser","boolean","NO",NULL,NULL,NULL
"public","auth_user",5,"username","character varying","NO",30,NULL,NULL
"public","auth_user",6,"first_name","character varying","NO",30,NULL,NULL
"public","auth_user",7,"last_name","character varying","NO",30,NULL,NULL
"public","auth_user",8,"email","character varying","NO",254,NULL,NULL
"public","auth_user",9,"is_staff","boolean","NO",NULL,NULL,NULL
"public","auth_user",10,"is_active","boolean","NO",NULL,NULL,NULL
"public","auth_user",11,"date_joined","timestamp with time zone","NO",NULL,NULL,NULL
"public","auth_user_groups",1,"id","integer","NO",NULL,32,0
"public","auth_user_groups",2,"user_id","integer","NO",NULL,32,0
"public","auth_user_groups",3,"group_id","integer","NO",NULL,32,0
"public","auth_user_user_permissions",1,"id","integer","NO",NULL,32,0
"public","auth_user_user_permissions",2,"user_id","integer","NO",NULL,32,0
"public","auth_user_user_permissions",3,"permission_id","integer","NO",NULL,32,0
"public","blog_blogcategory",1,"slug","character varying","YES",2000,NULL,NULL
"public","blog_blogcategory",2,"id","integer","NO",NULL,32,0
"public","blog_blogcategory",3,"title","character varying","NO",500,NULL,NULL
"public","blog_blogcategory",4,"site_id","integer","NO",NULL,32,0
"public","blog_blogpost",1,"status","integer","NO",NULL,32,0
"public","blog_blogpost",2,"description","text","NO",NULL,NULL,NULL
"public","blog_blogpost",3,"title","character varying","NO",500,NULL,NULL
"public","blog_blogpost",4,"short_url","character varying","YES",200,NULL,NULL
"public","blog_blogpost",5,"id","integer","NO",NULL,32,0
"public","blog_blogpost",6,"content","text","NO",NULL,NULL,NULL
"public","blog_blogpost",7,"expiry_date","timestamp with time zone","YES",NULL,NULL,NULL
"public","blog_blogpost",8,"publish_date","timestamp with time zone","YES",NULL,NULL,NULL
"public","blog_blogpost",9,"user_id","integer","NO",NULL,32,0
"public","blog_blogpost",10,"slug","character varying","YES",2000,NULL,NULL
"public","blog_blogpost",11,"comments_count","integer","NO",NULL,32,0
"public","blog_blogpost",12,"keywords_string","character varying","NO",500,NULL,NULL
"public","blog_blogpost",13,"site_id","integer","NO",NULL,32,0
"public","blog_blogpost",14,"rating_average","double precision","NO",NULL,53,NULL
"public","blog_blogpost",15,"rating_count","integer","NO",NULL,32,0
"public","blog_blogpost",16,"allow_comments","boolean","NO",NULL,NULL,NULL
"public","blog_blogpost",17,"featured_image","character varying","YES",255,NULL,NULL
"public","blog_blogpost",18,"gen_description","boolean","NO",NULL,NULL,NULL
"public","blog_blogpost",19,"_meta_title","character varying","YES",500,NULL,NULL
"public","blog_blogpost",20,"in_sitemap","boolean","NO",NULL,NULL,NULL
"public","blog_blogpost",21,"rating_sum","integer","NO",NULL,32,0
"public","blog_blogpost",22,"created","timestamp with time zone","YES",NULL,NULL,NULL
"public","blog_blogpost",23,"updated","timestamp with time zone","YES",NULL,NULL,NULL
"public","blog_blogpost_categories",1,"id","integer","NO",NULL,32,0
"public","blog_blogpost_categories",2,"blogpost_id","integer","NO",NULL,32,0
"public","blog_blogpost_categories",3,"blogcategory_id","integer","NO",NULL,32,0
"public","blog_blogpost_related_posts",1,"id","integer","NO",NULL,32,0
"public","blog_blogpost_related_posts",2,"from_blogpost_id","integer","NO",NULL,32,0
"public","blog_blogpost_related_posts",3,"to_blogpost_id","integer","NO",NULL,32,0
"public","conf_setting",1,"id","integer","NO",NULL,32,0
"public","conf_setting",2,"value","character varying","NO",2000,NULL,NULL
"public","conf_setting",3,"name","character varying","NO",50,NULL,NULL
"public","conf_setting",4,"site_id","integer","NO",NULL,32,0
"public","core_sitepermission",1,"id","integer","NO",NULL,32,0
"public","core_sitepermission",2,"user_id","integer","NO",NULL,32,0
"public","core_sitepermission_sites",1,"id","integer","NO",NULL,32,0
"public","core_sitepermission_sites",2,"sitepermission_id","integer","NO",NULL,32,0
"public","core_sitepermission_sites",3,"site_id","integer","NO",NULL,32,0
"public","digipal_allograph",1,"id","integer","NO",NULL,32,0
"public","digipal_allograph",2,"name","character varying","NO",128,NULL,NULL
"public","digipal_allograph",3,"character_id","integer","NO",NULL,32,0
"public","digipal_allograph",4,"default","boolean","NO",NULL,NULL,NULL
"public","digipal_allograph",5,"created","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_allograph",6,"modified","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_allograph",7,"hidden","boolean","NO",NULL,NULL,NULL
"public","digipal_allograph",8,"illustration","character varying","YES",100,NULL,NULL
"public","digipal_allograph_aspects",1,"id","integer","NO",NULL,32,0
"public","digipal_allograph_aspects",2,"allograph_id","integer","NO",NULL,32,0
"public","digipal_allograph_aspects",3,"aspect_id","integer","NO",NULL,32,0
"public","digipal_allographcomponent",1,"id","integer","NO",NULL,32,0
"public","digipal_allographcomponent",2,"allograph_id","integer","NO",NULL,32,0
"public","digipal_allographcomponent",3,"component_id","integer","NO",NULL,32,0
"public","digipal_allographcomponent",4,"created","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_allographcomponent",5,"modified","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_allographcomponent_features",1,"id","integer","NO",NULL,32,0
"public","digipal_allographcomponent_features",2,"allographcomponent_id","integer","NO",NULL,32,0
"public","digipal_allographcomponent_features",3,"feature_id","integer","NO",NULL,32,0
"public","digipal_alphabet",1,"id","integer","NO",NULL,32,0
"public","digipal_alphabet",2,"name","character varying","NO",128,NULL,NULL
"public","digipal_alphabet",3,"created","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_alphabet",4,"modified","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_alphabet_hands",1,"id","integer","NO",NULL,32,0
"public","digipal_alphabet_hands",2,"alphabet_id","integer","NO",NULL,32,0
"public","digipal_alphabet_hands",3,"hand_id","integer","NO",NULL,32,0
"public","digipal_alphabet_ontographs",1,"id","integer","NO",NULL,32,0
"public","digipal_alphabet_ontographs",2,"alphabet_id","integer","NO",NULL,32,0
"public","digipal_alphabet_ontographs",3,"ontograph_id","integer","NO",NULL,32,0
"public","digipal_annotation",1,"id","integer","NO",NULL,32,0
"public","digipal_annotation",2,"image_id","integer","NO",NULL,32,0
"public","digipal_annotation",3,"cutout","character varying","YES",256,NULL,NULL
"public","digipal_annotation",4,"status_id","integer","YES",NULL,32,0
"public","digipal_annotation",5,"before_id","integer","YES",NULL,32,0
"public","digipal_annotation",6,"graph_id","integer","YES",NULL,32,0
"public","digipal_annotation",7,"after_id","integer","YES",NULL,32,0
"public","digipal_annotation",8,"vector_id","text","NO",NULL,NULL,NULL
"public","digipal_annotation",9,"geo_json","text","NO",NULL,NULL,NULL
"public","digipal_annotation",10,"display_note","text","YES",NULL,NULL,NULL
"public","digipal_annotation",11,"internal_note","text","YES",NULL,NULL,NULL
"public","digipal_annotation",12,"author_id","integer","NO",NULL,32,0
"public","digipal_annotation",13,"created","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_annotation",14,"modified","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_annotation",15,"rotation","double precision","NO",NULL,53,NULL
"public","digipal_annotation",16,"holes","character varying","YES",1000,NULL,NULL
"public","digipal_annotation",17,"clientid","character varying","YES",24,NULL,NULL
"public","digipal_annotation",18,"type","character varying","YES",15,NULL,NULL
"public","digipal_annotation",19,"illustration_ductus","character varying","YES",100,NULL,NULL
"public","digipal_apitransform",1,"id","integer","NO",NULL,32,0
"public","digipal_apitransform",2,"title","character varying","NO",30,NULL,NULL
"public","digipal_apitransform",3,"slug","character varying","NO",30,NULL,NULL
"public","digipal_apitransform",4,"template","text","YES",NULL,NULL,NULL
"public","digipal_apitransform",5,"description","text","YES",NULL,NULL,NULL
"public","digipal_apitransform",6,"created","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_apitransform",7,"modified","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_apitransform",8,"mimetype","character varying","NO",30,NULL,NULL
"public","digipal_apitransform",9,"sample_request","character varying","YES",200,NULL,NULL
"public","digipal_apitransform",10,"webpage","boolean","NO",NULL,NULL,NULL
"public","digipal_appearance",1,"id","integer","NO",NULL,32,0
"public","digipal_appearance",2,"legacy_id","integer","YES",NULL,32,0
"public","digipal_appearance",3,"text","character varying","NO",128,NULL,NULL
"public","digipal_appearance",4,"sort_order","integer","NO",NULL,32,0
"public","digipal_appearance",5,"description","character varying","NO",128,NULL,NULL
"public","digipal_appearance",6,"created","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_appearance",7,"modified","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_archive",1,"id","integer","NO",NULL,32,0
"public","digipal_archive",2,"legacy_id","integer","YES",NULL,32,0
"public","digipal_archive",3,"content_type_id","integer","NO",NULL,32,0
"public","digipal_archive",4,"object_id","integer","NO",NULL,32,0
"public","digipal_archive",5,"historical_item_id","integer","NO",NULL,32,0
"public","digipal_archive",6,"dubitable","boolean","YES",NULL,NULL,NULL
"public","digipal_archive",7,"created","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_archive",8,"modified","timestamp with time zone","NO",NULL,NULL,NULL
"public","digipal_aspect",1,"id","integer","NO",NULL,32,0
