"src_table","src_column","ref_table","ref_column"
"auth_group_permissions","group_id","auth_group","id"
"auth_group_permissions","permission_id","auth_permission","id"
"auth_permission","content_type_id","django_content_type","id"
"auth_user_groups","group_id","auth_group","id"
"auth_user_groups","user_id","auth_user","id"
"auth_user_user_permissions","permission_id","auth_permission","id"
"auth_user_user_permissions","user_id","auth_user","id"
"blog_blogcategory","site_id","django_site","id"
"blog_blogpost","site_id","django_site","id"
"blog_blogpost","user_id","auth_user","id"
"blog_blogpost_categories","blogcategory_id","blog_blogcategory","id"
"blog_blogpost_categories","blogpost_id","blog_blogpost","id"
"blog_blogpost_related_posts","from_blogpost_id","blog_blogpost","id"
"blog_blogpost_related_posts","to_blogpost_id","blog_blogpost","id"
"conf_setting","site_id","django_site","id"
"core_sitepermission","user_id","auth_user","id"
"core_sitepermission_sites","site_id","django_site","id"
"core_sitepermission_sites","sitepermission_id","core_sitepermission","id"
"digipal_allograph","character_id","digipal_character","id"
"digipal_allograph_aspects","allograph_id","digipal_allograph","id"
"digipal_allograph_aspects","aspect_id","digipal_aspect","id"
"digipal_allographcomponent","allograph_id","digipal_allograph","id"
"digipal_allographcomponent","component_id","digipal_component","id"
"digipal_allographcomponent_features","allographcomponent_id","digipal_allographcomponent","id"
"digipal_allographcomponent_features","feature_id","digipal_feature","id"
"digipal_alphabet_hands","alphabet_id","digipal_alphabet","id"
"digipal_alphabet_hands","hand_id","digipal_hand","id"
"digipal_alphabet_ontographs","alphabet_id","digipal_alphabet","id"
"digipal_alphabet_ontographs","ontograph_id","digipal_ontograph","id"
"digipal_annotation","after_id","digipal_allograph","id"
"digipal_annotation","author_id","auth_user","id"
"digipal_annotation","before_id","digipal_allograph","id"
"digipal_annotation","graph_id","digipal_graph","id"
"digipal_annotation","image_id","digipal_image","id"
"digipal_annotation","status_id","digipal_status","id"
"digipal_archive","content_type_id","django_content_type","id"
"digipal_archive","historical_item_id","digipal_historicalitem","id"
"digipal_aspect_features","aspect_id","digipal_aspect","id"
"digipal_aspect_features","feature_id","digipal_feature","id"
"digipal_cataloguenumber","historical_item_id","digipal_historicalitem","id"
"digipal_cataloguenumber","source_id","digipal_source","id"
"digipal_cataloguenumber","text_id","digipal_text","id"
"digipal_character","form_id","digipal_characterform","id"
"digipal_character","ontograph_id","digipal_ontograph","id"
"digipal_character_components","character_id","digipal_character","id"
"digipal_character_components","component_id","digipal_component","id"
"digipal_collation","historical_item_id","digipal_historicalitem","id"
"digipal_component_features","component_id","digipal_component","id"
"digipal_component_features","feature_id","digipal_feature","id"
"digipal_currentitem","repository_id","digipal_repository","id"
"digipal_currentitem_owners","currentitem_id","digipal_currentitem","id"
"digipal_currentitem_owners","owner_id","digipal_owner","id"
"digipal_dateevidence","date_id","digipal_date","id"
"digipal_dateevidence","hand_id","digipal_hand","id"
"digipal_dateevidence","historical_item_id","digipal_historicalitem","id"
"digipal_dateevidence","reference_id","digipal_reference","id"
"digipal_decoration","historical_item_id","digipal_historicalitem","id"
"digipal_description","historical_item_id","digipal_historicalitem","id"
"digipal_description","source_id","digipal_source","id"
"digipal_description","text_id","digipal_text","id"
"digipal_graph","group_id","digipal_graph","id"
"digipal_graph","hand_id","digipal_hand","id"
"digipal_graph","idiograph_id","digipal_idiograph","id"
"digipal_graph_aspects","aspect_id","digipal_aspect","id"
"digipal_graph_aspects","graph_id","digipal_graph","id"
"digipal_graphcomponent","component_id","digipal_component","id"
"digipal_graphcomponent","graph_id","digipal_graph","id"
"digipal_graphcomponent_features","feature_id","digipal_feature","id"
"digipal_graphcomponent_features","graphcomponent_id","digipal_graphcomponent","id"
"digipal_hand","appearance_id","digipal_appearance","id"
"digipal_hand","assigned_date_id","digipal_date","id"
"digipal_hand","assigned_place_id","digipal_place","id"
"digipal_hand","glossed_text_id","digipal_category","id"
"digipal_hand","item_part_id","digipal_itempart","id"
"digipal_hand","latin_style_id","digipal_latinstyle","id"
"digipal_hand","scribe_id","digipal_scribe","id"
"digipal_hand","script_id","digipal_script","id"
"digipal_hand","stewart_record_id","digipal_stewartrecord","id"
"digipal_hand_images","hand_id","digipal_hand","id"
"digipal_hand_images","image_id","digipal_image","id"
"digipal_handdescription","hand_id","digipal_hand","id"
"digipal_handdescription","source_id","digipal_source","id"
"digipal_historicalitem","hair_id","digipal_hair","id"
"digipal_historicalitem","historical_item_format_id","digipal_format","id"
"digipal_historicalitem","historical_item_type_id","digipal_historicalitemtype","id"
"digipal_historicalitem","language_id","digipal_language","id"
"digipal_historicalitem_categories","category_id","digipal_category","id"
"digipal_historicalitem_categories","historicalitem_id","digipal_historicalitem","id"
"digipal_historicalitem_owners","historicalitem_id","digipal_historicalitem","id"
"digipal_historicalitem_owners","owner_id","digipal_owner","id"
"digipal_historicalitemdate","date_id","digipal_date","id"
"digipal_historicalitemdate","historical_item_id","digipal_historicalitem","id"
"digipal_idiograph","allograph_id","digipal_allograph","id"
"digipal_idiograph","scribe_id","digipal_scribe","id"
"digipal_idiograph_aspects","aspect_id","digipal_aspect","id"
"digipal_idiograph_aspects","idiograph_id","digipal_idiograph","id"
"digipal_idiographcomponent","component_id","digipal_component","id"
"digipal_idiographcomponent","idiograph_id","digipal_idiograph","id"
"digipal_idiographcomponent_features","feature_id","digipal_feature","id"
"digipal_idiographcomponent_features","idiographcomponent_id","digipal_idiographcomponent","id"
"digipal_image","annotation_status_id","digipal_imageannotationstatus","id"
"digipal_image","item_part_id","digipal_itempart","id"
"digipal_image","media_permission_id","digipal_mediapermission","id"
"digipal_institution","founder_id","digipal_person","id"
"digipal_institution","institution_type_id","digipal_institutiontype","id"
"digipal_institution","patron_id","digipal_person","id"
"digipal_institution","place_id","digipal_place","id"
"digipal_institution","reformer_id","digipal_person","id"
"digipal_itemorigin","historical_item_id","digipal_historicalitem","id"
"digipal_itemorigin","institution_id","digipal_institution","id"
"digipal_itemorigin","place_id","digipal_place","id"
"digipal_itempart","current_item_id","digipal_currentitem","id"
"digipal_itempart","group_id","digipal_itempart","id"
"digipal_itempart","type_id","digipal_itemparttype","id"
"digipal_itempart_owners","itempart_id","digipal_itempart","id"
"digipal_itempart_owners","owner_id","digipal_owner","id"
"digipal_itempartauthenticity","category_id","digipal_authenticitycategory","id"
"digipal_itempartauthenticity","item_part_id","digipal_itempart","id"
"digipal_itempartauthenticity","source_id","digipal_source","id"
"digipal_itempartitem","historical_item_id","digipal_historicalitem","id"
"digipal_itempartitem","item_part_id","digipal_itempart","id"
"digipal_layout","hair_arrangement_id","digipal_hair","id"
"digipal_layout","historical_item_id","digipal_historicalitem","id"
"digipal_layout","item_part_id","digipal_itempart","id"
"digipal_ontograph","ontograph_type_id","digipal_ontographtype","id"
"digipal_owner","institution_id","digipal_institution","id"
"digipal_owner","person_id","digipal_person","id"
"digipal_owner","repository_id","digipal_repository","id"
"digipal_place","current_county_id","digipal_county","id"
"digipal_place","historical_county_id","digipal_county","id"
"digipal_place","region_id","digipal_region","id"
"digipal_place","type_id","digipal_placetype","id"
"digipal_placeevidence","hand_id","digipal_hand","id"
"digipal_placeevidence","historical_item_id","digipal_historicalitem","id"
"digipal_placeevidence","place_id","digipal_place","id"
"digipal_placeevidence","reference_id","digipal_reference","id"
"digipal_proportion","hand_id","digipal_hand","id"
"digipal_proportion","measurement_id","digipal_measurement","id"
"digipal_repository","media_permission_id","digipal_mediapermission","id"
"digipal_repository","part_of_id","digipal_repository","id"
"digipal_repository","place_id","digipal_place","id"
"digipal_repository","type_id","digipal_ownertype","id"
"digipal_scribe","scriptorium_id","digipal_institution","id"
"digipal_scribe_reference","reference_id","digipal_reference","id"
"digipal_scribe_reference","scribe_id","digipal_scribe","id"
