"old_table","new_table","name_score","shared_columns","total_score","rank"
"auth_group","auth_group",100,"2","104","1"
"auth_group","auth_group_permissions",60,"1","62","2"
"auth_group","auth_user_groups",60,"1","62","3"
"auth_group","auth_permission",0,"2","4","4"
"auth_group","django_migrations",0,"2","4","5"
"auth_group","manuscripts_bibliographicsource",0,"2","4","6"
"auth_group","manuscripts_itemformat",0,"2","4","7"
"auth_group","manuscripts_repository",0,"2","4","8"
"auth_group","publications_tagulous_publication_keywords",0,"2","4","9"
"auth_group","scribes_hand",0,"2","4","10"
"auth_group_permissions","auth_group_permissions",100,"3","106","1"
"auth_group_permissions","auth_group",60,"1","62","2"
"auth_group_permissions","auth_permission",60,"1","62","3"
"auth_group_permissions","auth_user_groups",0,"2","4","4"
"auth_group_permissions","auth_user_user_permissions",0,"2","4","5"
"auth_group_permissions","annotations_graph",0,"1","2","6"
"auth_group_permissions","annotations_graph_positions",0,"1","2","7"
"auth_group_permissions","annotations_graphcomponent",0,"1","2","8"
"auth_group_permissions","annotations_graphcomponent_features",0,"1","2","9"
"auth_group_permissions","auth_user",0,"1","2","10"
"auth_permission","auth_permission",100,"4","108","1"
"auth_permission","auth_group_permissions",60,"1","62","2"
"auth_permission","auth_user_user_permissions",60,"1","62","3"
"auth_permission","auth_group",0,"2","4","4"
"auth_permission","django_admin_log",0,"2","4","5"
"auth_permission","django_migrations",0,"2","4","6"
"auth_permission","manuscripts_bibliographicsource",0,"2","4","7"
"auth_permission","manuscripts_itemformat",0,"2","4","8"
"auth_permission","manuscripts_repository",0,"2","4","9"
"auth_permission","publications_tagulous_publication_keywords",0,"2","4","10"
"auth_user","auth_user",100,"11","122","1"
"auth_user","auth_user_groups",60,"1","62","2"
"auth_user","auth_user_user_permissions",60,"1","62","3"
"auth_user","annotations_graph",0,"1","2","4"
"auth_user","annotations_graph_positions",0,"1","2","5"
"auth_user","annotations_graphcomponent",0,"1","2","6"
"auth_user","annotations_graphcomponent_features",0,"1","2","7"
"auth_user","auth_group",0,"1","2","8"
"auth_user","auth_group_permissions",0,"1","2","9"
"auth_user","auth_permission",0,"1","2","10"
"auth_user_groups","auth_user_groups",100,"3","106","1"
"auth_user_groups","auth_group",60,"1","62","2"
"auth_user_groups","auth_user",60,"1","62","3"
"auth_user_groups","auth_group_permissions",0,"2","4","4"
"auth_user_groups","auth_user_user_permissions",0,"2","4","5"
"auth_user_groups","django_admin_log",0,"2","4","6"
"auth_user_groups","annotations_graph",0,"1","2","7"
"auth_user_groups","annotations_graph_positions",0,"1","2","8"
"auth_user_groups","annotations_graphcomponent",0,"1","2","9"
"auth_user_groups","annotations_graphcomponent_features",0,"1","2","10"
"auth_user_user_permissions","auth_user_user_permissions",100,"3","106","1"
"auth_user_user_permissions","auth_permission",60,"1","62","2"
"auth_user_user_permissions","auth_user",60,"1","62","3"
"auth_user_user_permissions","auth_group_permissions",0,"2","4","4"
"auth_user_user_permissions","auth_user_groups",0,"2","4","5"
"auth_user_user_permissions","django_admin_log",0,"2","4","6"
"auth_user_user_permissions","annotations_graph",0,"1","2","7"
"auth_user_user_permissions","annotations_graph_positions",0,"1","2","8"
"auth_user_user_permissions","annotations_graphcomponent",0,"1","2","9"
"auth_user_user_permissions","annotations_graphcomponent_features",0,"1","2","10"
"blog_blogcategory","publications_event",0,"3","6","1"
"blog_blogcategory","publications_publication",0,"3","6","2"
"blog_blogcategory","publications_carouselitem",0,"2","4","3"
"blog_blogcategory","publications_tagulous_publication_keywords",0,"2","4","4"
"blog_blogcategory","annotations_graph",0,"1","2","5"
"blog_blogcategory","annotations_graph_positions",0,"1","2","6"
"blog_blogcategory","annotations_graphcomponent",0,"1","2","7"
"blog_blogcategory","annotations_graphcomponent_features",0,"1","2","8"
"blog_blogcategory","auth_group",0,"1","2","9"
"blog_blogcategory","auth_group_permissions",0,"1","2","10"
"blog_blogpost","publications_publication",0,"6","12","1"
"blog_blogpost","manuscripts_imagetext",0,"4","8","2"
"blog_blogpost","publications_event",0,"4","8","3"
"blog_blogpost","auth_user_groups",0,"2","4","4"
"blog_blogpost","auth_user_user_permissions",0,"2","4","5"
"blog_blogpost","authtoken_token",0,"2","4","6"
"blog_blogpost","django_admin_log",0,"2","4","7"
"blog_blogpost","manuscripts_currentitem",0,"2","4","8"
"blog_blogpost","manuscripts_historicalitemdescription",0,"2","4","9"
"blog_blogpost","publications_carouselitem",0,"2","4","10"
"blog_blogpost_categories","annotations_graph",0,"1","2","1"
"blog_blogpost_categories","annotations_graph_positions",0,"1","2","2"
"blog_blogpost_categories","annotations_graphcomponent",0,"1","2","3"
"blog_blogpost_categories","annotations_graphcomponent_features",0,"1","2","4"
"blog_blogpost_categories","auth_group",0,"1","2","5"
"blog_blogpost_categories","auth_group_permissions",0,"1","2","6"
"blog_blogpost_categories","auth_permission",0,"1","2","7"
"blog_blogpost_categories","auth_user",0,"1","2","8"
"blog_blogpost_categories","auth_user_groups",0,"1","2","9"
"blog_blogpost_categories","auth_user_user_permissions",0,"1","2","10"
"blog_blogpost_related_posts","annotations_graph",0,"1","2","1"
"blog_blogpost_related_posts","annotations_graph_positions",0,"1","2","2"
"blog_blogpost_related_posts","annotations_graphcomponent",0,"1","2","3"
"blog_blogpost_related_posts","annotations_graphcomponent_features",0,"1","2","4"
"blog_blogpost_related_posts","auth_group",0,"1","2","5"
"blog_blogpost_related_posts","auth_group_permissions",0,"1","2","6"
"blog_blogpost_related_posts","auth_permission",0,"1","2","7"
"blog_blogpost_related_posts","auth_user",0,"1","2","8"
"blog_blogpost_related_posts","auth_user_groups",0,"1","2","9"
"blog_blogpost_related_posts","auth_user_user_permissions",0,"1","2","10"
"conf_setting","auth_group",0,"2","4","1"
"conf_setting","auth_permission",0,"2","4","2"
"conf_setting","django_migrations",0,"2","4","3"
"conf_setting","manuscripts_bibliographicsource",0,"2","4","4"
"conf_setting","manuscripts_itemformat",0,"2","4","5"
"conf_setting","manuscripts_repository",0,"2","4","6"
"conf_setting","publications_tagulous_publication_keywords",0,"2","4","7"
"conf_setting","scribes_hand",0,"2","4","8"
"conf_setting","scribes_scribe",0,"2","4","9"
"conf_setting","scribes_script",0,"2","4","10"
"core_sitepermission","auth_permission",60,"1","62","1"
"core_sitepermission","auth_user_groups",0,"2","4","2"
"core_sitepermission","auth_user_user_permissions",0,"2","4","3"
"core_sitepermission","django_admin_log",0,"2","4","4"
"core_sitepermission","annotations_graph",0,"1","2","5"
"core_sitepermission","annotations_graph_positions",0,"1","2","6"
"core_sitepermission","annotations_graphcomponent",0,"1","2","7"
"core_sitepermission","annotations_graphcomponent_features",0,"1","2","8"
"core_sitepermission","auth_group",0,"1","2","9"
"core_sitepermission","auth_group_permissions",0,"1","2","10"
"core_sitepermission_sites","auth_permission",60,"1","62","1"
"core_sitepermission_sites","annotations_graph",0,"1","2","2"
"core_sitepermission_sites","annotations_graph_positions",0,"1","2","3"
"core_sitepermission_sites","annotations_graphcomponent",0,"1","2","4"
"core_sitepermission_sites","annotations_graphcomponent_features",0,"1","2","5"
"core_sitepermission_sites","auth_group",0,"1","2","6"
"core_sitepermission_sites","auth_group_permissions",0,"1","2","7"
"core_sitepermission_sites","auth_user",0,"1","2","8"
"core_sitepermission_sites","auth_user_groups",0,"1","2","9"
"core_sitepermission_sites","auth_user_user_permissions",0,"1","2","10"
"digipal_allograph","symbols_structure_allograph",100,"3","106","1"
"digipal_allograph","annotations_graph",60,"1","62","2"
"digipal_allograph","symbols_structure_allographcomponent",60,"1","62","3"
"digipal_allograph","symbols_structure_allographcomponentfeature",60,"1","62","4"
"digipal_allograph","manuscripts_imagetext",0,"3","6","5"
"digipal_allograph","auth_group",0,"2","4","6"
"digipal_allograph","auth_permission",0,"2","4","7"
"digipal_allograph","django_migrations",0,"2","4","8"
"digipal_allograph","manuscripts_bibliographicsource",0,"2","4","9"
"digipal_allograph","manuscripts_itemformat",0,"2","4","10"
"digipal_allograph_aspects","annotations_graph",60,"2","64","1"
"digipal_allograph_aspects","symbols_structure_allograph",60,"1","62","2"
"digipal_allograph_aspects","symbols_structure_allographcomponent",0,"2","4","3"
"digipal_allograph_aspects","annotations_graph_positions",0,"1","2","4"
"digipal_allograph_aspects","annotations_graphcomponent",0,"1","2","5"
"digipal_allograph_aspects","annotations_graphcomponent_features",0,"1","2","6"
"digipal_allograph_aspects","auth_group",0,"1","2","7"
"digipal_allograph_aspects","auth_group_permissions",0,"1","2","8"
"digipal_allograph_aspects","auth_permission",0,"1","2","9"
"digipal_allograph_aspects","auth_user",0,"1","2","10"
"digipal_allographcomponent","symbols_structure_allographcomponent",100,"3","106","1"
"digipal_allographcomponent","annotations_graph",60,"2","64","2"
"digipal_allographcomponent","annotations_graphcomponent",60,"2","64","3"
"digipal_allographcomponent","symbols_structure_allograph",60,"1","62","4"
"digipal_allographcomponent","symbols_structure_allographcomponentfeature",60,"1","62","5"
"digipal_allographcomponent","symbols_structure_component",60,"1","62","6"
"digipal_allographcomponent","manuscripts_imagetext",0,"3","6","7"
"digipal_allographcomponent","symbols_structure_component_features",0,"2","4","8"
